nome,bioma,estado,mata_atlantica?,OBS
Morro do Chapéu,Caatinga,BA,0,
Alto vale do Ribeira,Mata Atlântica,PR/SP,1,
Alto Rio Contas,Caatinga,BA,0,
São Desidério,Caatinga,BA,0,
Quadrilátero ferrífero,"Mata Atlântica, Cerrado",MG,1,
Litoral Sul de Pernambuco,Mata Atlântica,PE,1,Mata A. devastada e mangue
Sertão Monumental,Caatinga,CE,0,
Cachoeiras do Amazonas,Amazônia,AM,0,
Pireneus,Cerrado,GO,0,
Astroblema De Araguainha-Ponte Branca,Cerrado,GO/MT,0,
Bodoquena-Pantanal,"Pantanal, Cerrado, Mata Atlântica",MS,1,Influência mata atlântica
Chapada dos Guimarães,Cerrado,MT,0,
Fernando de Noronha,Mata Atlântica,PE,1,Incerto
Seridó,Caatinga,RN,0,
Quarta Colônia,"Mata Atlântica, Pampa",RS,1,
Caminhos dos Cânions do Sul,Mata Atlântica,RS/SC,1,
Serra da Capivara,Caatinga,PI,0,
Uberaba: Terra dos dinossauros,"Cerrado, Mata Atlântica",MG,0,
Catimbau-Pedra Furada,Mata Atlântica,PE,1,Pouca mas tem.
Sete Cidades-Pedro II,"Caatinga, Cerrado",PI,0,
Chapada Diamantina,"Caatinga, Cerrado, Mata Atlântica",BA,1,
Rio de Contas,"Caatinga, Cerrado",BA,0,
Monte Alegre,Amazônia,PA,0,
Alto Alegre dos Parecis,Amazônia,RO,0,
Serra da Canastra,Cerrado,MG,0,
Chapada dos Veadeiros,Cerrado,GO,0,
Canudos,Caatinga,BA,0,
Cânion do São Francisco,Caatinga,SE/AL,0,
Rio do Peixe,Caatinga,PB,0,
Vale Monumental,Incerto,CE,0,Meio incógnito (em criação?)
Tepuis,Amazônia,RR,0,Amazonico acho
Cânion do Rio Potí,Caatinga,PI,0,
Delta do Parnaíba,"Caatinga, Cerrado",PI,0,
Ubajara,"Caatinga, Mata Atlântica",CE,1,Inserido na caatinga mas com partes de mata atlântica
Guaritas-Minas do Camaquã,Pampa,RS,0,
Costões e Lagunas do Estado do Rio de Janeiro,Mata Atlântica,RJ,1,
Ciclo do Ouro de Guarulhos,Mata Atlântica,SP,1,
Campos Gerais,"Cerrado, Mata Atlântica",PR,1,
Inselbergs de Itatim - Milagres,Caatinga,BA,0,Não tenho certeza se é mata atlântica
Iraquara,Caatinga,BA,0,Não tenho certeza
